start_lat,start_lon,label,target_distance,max_candidates,n_nodes,n_edges,n_routes,max_cands,attempt,duration,min_ele,max_ele,min_dist,max_dist
51.0428188,-1.3476727,Winchester,1000,128,51,114,4,128,1,0.009994011,9.188995361328125,15.295005798339844,911.772602908956,1082.7134694460278
51.0428188,-1.3476727,Winchester,1000,256,51,114,4,256,1,0.002160919,9.188995361328125,15.295005798339844,911.772602908956,1082.7134694460278
51.0428188,-1.3476727,Winchester,1000,384,51,114,4,384,1,0.002321464,9.188995361328125,15.295005798339844,911.772602908956,1082.7134694460278
51.0428188,-1.3476727,Winchester,1000,512,51,114,4,512,1,0.002247139,9.188995361328125,15.295005798339844,911.772602908956,1082.7134694460278
51.0428188,-1.3476727,Winchester,1000,640,51,114,4,640,1,0.002098302,9.188995361328125,15.295005798339844,911.772602908956,1082.7134694460278
51.0428188,-1.3476727,Winchester,1000,768,51,114,4,768,1,0.002153455,9.188995361328125,15.295005798339844,911.772602908956,1082.7134694460278
51.0428188,-1.3476727,Winchester,1000,896,51,114,4,896,1,0.002041756,9.188995361328125,15.295005798339844,911.772602908956,1082.7134694460278
51.0428188,-1.3476727,Winchester,1000,1024,51,114,4,1024,1,0.002336723,9.188995361328125,15.295005798339844,911.772602908956,1082.7134694460278
51.0428188,-1.3476727,Winchester,1000,2048,51,114,4,2048,1,0.002099657,9.188995361328125,15.295005798339844,911.772602908956,1082.7134694460278
51.0428188,-1.3476727,Winchester,1000,3072,51,114,4,3072,1,0.002056899,9.188995361328125,15.295005798339844,911.772602908956,1082.7134694460278
51.0428188,-1.3476727,Winchester,1000,4096,51,114,4,4096,1,0.00221489,9.188995361328125,15.295005798339844,911.772602908956,1082.7134694460278
51.0428188,-1.3476727,Winchester,1000,5120,51,114,4,5120,1,0.002064043,9.188995361328125,15.295005798339844,911.772602908956,1082.7134694460278
51.0428188,-1.3476727,Winchester,1000,6144,51,114,4,6144,1,0.001993366,9.188995361328125,15.295005798339844,911.772602908956,1082.7134694460278
51.0428188,-1.3476727,Winchester,1000,7168,51,114,4,7168,1,0.00203002,9.188995361328125,15.295005798339844,911.772602908956,1082.7134694460278
51.0428188,-1.3476727,Winchester,1000,8192,51,114,4,8192,1,0.002076977,9.188995361328125,15.295005798339844,911.772602908956,1082.7134694460278
51.0428188,-1.3476727,Winchester,1000,9216,51,114,4,9216,1,0.001966682,9.188995361328125,15.295005798339844,911.772602908956,1082.7134694460278
51.0428188,-1.3476727,Winchester,1000,10240,51,114,4,10240,1,0.002008315,9.188995361328125,15.295005798339844,911.772602908956,1082.7134694460278
51.0428188,-1.3476727,Winchester,1000,11264,51,114,4,11264,1,0.002259782,9.188995361328125,15.295005798339844,911.772602908956,1082.7134694460278
51.0428188,-1.3476727,Winchester,1000,12288,51,114,4,12288,1,0.002080735,9.188995361328125,15.295005798339844,911.772602908956,1082.7134694460278
51.0428188,-1.3476727,Winchester,1000,13312,51,114,4,13312,1,0.002360394,9.188995361328125,15.295005798339844,911.772602908956,1082.7134694460278
51.0428188,-1.3476727,Winchester,1000,14336,51,114,4,14336,1,0.002102158,9.188995361328125,15.295005798339844,911.772602908956,1082.7134694460278
51.0428188,-1.3476727,Winchester,1000,15360,51,114,4,15360,1,0.002026948,9.188995361328125,15.295005798339844,911.772602908956,1082.7134694460278
51.0428188,-1.3476727,Winchester,1000,16384,51,114,4,16384,1,0.002201032,9.188995361328125,15.295005798339844,911.772602908956,1082.7134694460278
50.9873551,-1.406696,Southampton Common,1000,128,193,444,29,128,1,0.011932656,7.045003890991211,18.01799964904785,945.701656712576,1099.6177509926154
50.9873551,-1.406696,Southampton Common,1000,256,193,444,48,256,1,0.020683137,6.50700569152832,18.01799964904785,918.9031051224188,1099.2783002032172
50.9873551,-1.406696,Southampton Common,1000,384,193,444,59,384,1,0.024428341,6.50700569152832,18.01799964904785,918.9031051224188,1099.6177509926154
50.9873551,-1.406696,Southampton Common,1000,512,193,444,64,512,1,0.027417907,6.85600471496582,18.01799964904785,952.1018362588879,1099.7995481030641
50.9873551,-1.406696,Southampton Common,1000,640,193,444,64,640,1,0.031384649,6.85600471496582,18.038000106811523,920.4523396307843,1099.6497669836547
50.9873551,-1.406696,Southampton Common,1000,768,193,444,64,768,1,0.032522044,7.020008087158203,18.01799964904785,1001.0489395918574,1098.4532019824262
50.9873551,-1.406696,Southampton Common,1000,896,193,444,64,896,1,0.035760186,7.044004440307617,18.01799964904785,1004.28050422306,1099.240869252659
50.9873551,-1.406696,Southampton Common,1000,1024,193,444,64,1024,1,0.037468848,7.092010498046875,18.01799964904785,1005.6493605103102,1099.240869252659
50.9873551,-1.406696,Southampton Common,1000,2048,193,444,64,2048,1,0.04471299,7.045003890991211,18.01799964904785,1001.4425547452297,1099.998659860376
