start_lat,start_lon,label,target_distance,max_candidates,n_nodes,n_edges,n_routes,max_cands,attempt,duration,min_ele,max_ele,min_dist,max_dist
51.004783,-1.4752269,Romsey,1000,128,401,893,10,128,1,0.024437633,6.520000457763672,8.223003387451172,1035.5423918275583,1098.9190318166907
51.004783,-1.4752269,Romsey,1000,256,401,893,10,256,1,0.045313516,7.167999267578125,9.905010223388672,1007.699498313794,1090.6693426493284
51.004783,-1.4752269,Romsey,1000,384,401,893,10,384,1,0.053470679,7.678001403808594,10.192005157470703,1009.1991280875392,1098.9190318166907
51.004783,-1.4752269,Romsey,1000,512,401,893,10,512,1,0.065061656,8.00400161743164,10.420005798339844,1020.9972775908545,1098.7182287407823
51.004783,-1.4752269,Romsey,1000,640,401,893,10,640,1,0.086850848,9.028007507324219,10.420005798339844,1009.1991280875392,1093.4272970783163
51.004783,-1.4752269,Romsey,1000,768,401,893,10,768,1,0.101065663,9.028007507324219,10.302005767822266,1012.8467180019531,1093.8761883150746
51.004783,-1.4752269,Romsey,1000,896,401,893,10,896,1,0.093065493,9.035003662109375,10.04800796508789,1012.850460745325,1091.8507977976647
51.004783,-1.4752269,Romsey,1000,1024,401,893,10,1024,1,0.099398354,9.000003814697266,10.302005767822266,1009.1991280875392,1093.4272970783163
51.004783,-1.4752269,Romsey,1000,2048,401,893,10,2048,1,0.181346585,9.028007507324219,10.302005767822266,1009.1991280875392,1098.7182287407823
51.004783,-1.4752269,Romsey,1000,3072,401,893,10,3072,1,0.255896122,9.029403686523438,10.043010711669922,1001.8320562716546,1099.1812276695737
51.004783,-1.4752269,Romsey,1000,4096,401,893,10,4096,1,0.358385219,9.028007507324219,10.302005767822266,1012.8467180019531,1099.1812276695737
51.004783,-1.4752269,Romsey,1000,5120,401,893,10,5120,1,0.425330099,9.0260009765625,10.302005767822266,1006.1991903730914,1099.1812276695737
51.004783,-1.4752269,Romsey,1000,6144,401,893,10,6144,1,0.394884774,9.029403686523438,10.302005767822266,1006.1991903730914,1098.6535496486872
51.004783,-1.4752269,Romsey,1000,7168,401,893,10,7168,1,0.387450493,9.0260009765625,10.302005767822266,1006.1991903730914,1098.6535496486872
51.004783,-1.4752269,Romsey,1000,8192,401,893,10,8192,1,0.445601515,9.0260009765625,10.302005767822266,1009.1991280875392,1099.1812276695737
51.004783,-1.4752269,Romsey,1000,9216,401,893,10,9216,1,0.349419243,9.0260009765625,10.302005767822266,1009.1991280875392,1099.1812276695737
51.004783,-1.4752269,Romsey,1000,10240,401,893,10,10240,1,0.326232422,9.0260009765625,10.302005767822266,1009.1991280875392,1099.1812276695737
51.004783,-1.4752269,Romsey,1000,11264,401,893,10,11264,1,0.339923609,9.0260009765625,10.302005767822266,1009.1991280875392,1099.1812276695737
51.004783,-1.4752269,Romsey,1000,12288,401,893,10,12288,1,0.334203007,9.0260009765625,10.302005767822266,1009.1991280875392,1099.1812276695737
51.004783,-1.4752269,Romsey,1000,13312,401,893,10,13312,1,0.344004816,9.0260009765625,10.302005767822266,1009.1991280875392,1099.1812276695737
51.004783,-1.4752269,Romsey,1000,14336,401,893,10,14336,1,0.338422011,9.0260009765625,10.302005767822266,1009.1991280875392,1099.1812276695737
51.004783,-1.4752269,Romsey,1000,15360,401,893,10,15360,1,0.324419971,9.0260009765625,10.302005767822266,1009.1991280875392,1099.1812276695737
51.004783,-1.4752269,Romsey,1000,16384,401,893,10,16384,1,0.32580017,9.0260009765625,10.302005767822266,1009.1991280875392,1099.1812276695737
50.904031,-1.0708209,Denmead,1000,128,55,116,1,128,1,0.008823336,3.9579925537109375,3.9579925537109375,1077.0819436312304,1077.0819436312304
50.904031,-1.0708209,Denmead,1000,256,55,116,1,256,1,0.002880767,3.9579925537109375,3.9579925537109375,1077.0819436312304,1077.0819436312304
50.904031,-1.0708209,Denmead,1000,384,55,116,1,384,1,0.002597762,3.9579925537109375,3.9579925537109375,1077.0819436312304,1077.0819436312304
